OBJECTID,COD_ID,DIST,FAS_CON,SIT_ATIV,TIP_UNID,PAC_1,PAC_2,CTMT,UNI_TR_S,SUB,CONJ,MUN,DAT_CON,BANC,POS,DESCR
"26","389581891","6600",ABC,AT,"13",79945875916011258MT,79945804916011187MT,"26260878","12874661","12873460","13689","2501708",26/04/2019,"1",PD, 
"27","389616113","6600",ABC,AT,"13",96146984918035322MT,96146987918035223MT,"51696901","12909197","12873486","13717","2511905",22/05/2019,"1",PD, 
"28","391183430","6600",ABC,AT,"13",87434542915842767MT,87434599915842686MT,"26260870","397864865","12873450","13686","2501302",01/01/1920,"1",PD, 
"29","392518851","6600",ABC,AT,"13",83457627923316478MT,83457546923316537MT,"26260913","12876823","12873459","13702","2512002",11/06/2019,"1",PD, 
"30","392523150","6600",ABC,AT,"13",65177374927190079MT,65177285927190032MT,"17067373","12910083","12873426","13725","2510907",11/06/2019,"1",PD, 
"31","392548907","6600",ABC,AT,"13",64496161929071972MT,64496236929071907MT,"17067300","12876369","12873425","13699","2512804",01/01/1920,"1",PD, 
"32","394494095","6600",ABC,AT,"13",62380894920540509MT,62380993920540520MT,"17067368","12909972","12873432","13723","2511301",07/06/2019,"1",PD, 
"33","394687319","6600",ABC,AT,"13",64767678923557267MT,64767579923557262MT,"17067343","12912951","12912330","13715","2504504",11/06/2019,"1",PD, 
"34","394743147","6600",ABC,AT,"13",71219749923339717MT,71219652923339690MT,"17067420","12874318","12912327","13734","2514909",15/06/2019,"1",PD, 
"35","395365787","6600",ABC,AT,"13",92221643918850081MT,92221686918850172MT,"51696912","12909677","12873481","13719","2511202",14/08/2019,"1",PD, 
"36","395644881","6600",ABC,AT,"13",61924720914852119MT,61924765914852208MT,"17067378","12910196","12873434","13727","2512309",15/04/2019,"1",PD, 
"37","397757530","6600",ABC,AT,"13",87677964925180634MT,87678063925180621MT,"26260981","12874110","12873448","16189","2501500",01/01/1920,"1",PD, 
"38","399583703","6600",ABC,AT,"13",82691358927847413MT,82691332927847398MT,"26260970","12912606","12912335","13698","2505105",01/01/1920,"1",PD, 
"39","399591052","6600",ABC,AT,"13",71618839912061561MT,71618923912061508MT,"26260955","12913075","12912333","13716","2509701",01/01/1920,"0",PD, 
"40","404808281","6600",ABC,AT,"13",56190411916654165MT,56190368916654074MT,"387937142","12877171","12873436","13704","2506608",01/01/1920,"1",PD, 
"41","418836765","6600",ABC,AT,"13",85933494922908614MT,85933403922908656MT,"26260944","12874110","12873458","13702","2501104",01/01/1920,"1",PD, 
"42","430928680","6600",ABC,AT,"13",94245986920585076MT,94246043920584993MT,"51696942","34820744","12873417","13738","2513703",26/06/2019,"1",PD, 
"43","445811739","6600",ABC,AT,"13",68670808924002456MT,68670757924002541MT,"17067387","12910486","12873439","13728","2514404",01/01/1920,"1",PD, 
"44","445846055","6600",ABC,AT,"13",94553204926348823MT,94553234926348727MT,"384872401","12875414","12912337","13730","2501401",01/01/1920,"1",PD, 
"45","449002153","6600",ABC,AT,"13",91733495924406017MT,91733398924405990MT,"210952743","12910813","12873487","13730","2507101",02/10/2020,"1",PD, 
"46","450135761","6600",ABC,AT,"13",91805131923029799MT,91805068923029878MT,"51696929","13607733","12873413","13736","2515302",11/09/2020,"1",PD, 
"47","451080450","6600",ABC,AT,"13",92103518922895730MT,92103423922895763MT,"51696929","13607733","12873413","13736","2515302",14/08/2020,"1",PD, 
"48","451303737","6600",ABC,AT,"13",91092970922347752MT,91092983922347851MT,"51696930","13607733","12873413","13736","2509107",04/11/2020,"1",PD, 
"49","454064764","6600",ABC,AT,"13",94010133926591957MT,94010232926591951MT,"384872401","12875414","12912337","15806","2512903",10/08/2020,"1",PD, 
"50","454953627","6600",ABC,AT,"13",90852296921802012MT,90852203921802049MT,"501345970","13607733","12873413","13736","2509107",17/11/2020,"1",PD, 
"51","459329223","6600",ABC,AT,"13",68247712922113579MT,68247615922113558MT,"17067330","12908513","12873438","13710","2510808",01/01/1920,"1",PD, 
"52","475586316","6600",ABC,AT,"13",57906809917786666MT,57906902917786703MT,"17067308","12877171","12873436","13704","2505600",01/01/1920,"1",PD, 
"53","504971300","6600",ABC,AT,"14",54964933923812208MT,CJZ504971300,"17067263","207357388","12873431","13695","2503704",01/01/1920,"1",PD, 
"54","12874551","6600",ABC,AT,"14",87098681925134927MT,BNR12874551,"26260980","12874110","12873448","16189","2501500",01/01/1920,"1",PD, 
"55","12874946","6600",ABC,AT,"14",95387074916740598MT,CAA12874946,"51696821","498468998","12873477","13692","2503001",01/01/1920,"1",PD, 
"56","12875413","6600",ABC,AT,"14",94886400919525100MT,CDE12875413,"51696832","211896113","12873482","13694","2504603",01/01/1920,"1",PD, 
"57","12876822","6600",ABC,AT,"14",84634157922211461MT,ESP12876822,"122799812","12876823","12873459","13702","2506004",01/01/1920,"1",PD, 
"58","12877174","6600",ABC,AT,"14",56562372917149075MT,IBR12877174,"17067308","12877171","12873436","13704","2506608",01/01/1920,"1",PD, 
"59","12877607","6600",ABC,AT,"14",90438696918714723MT,ITA12877607,"51696863","12876668","12873419","13706","2506905",01/01/1920,"1",PD, 
"60","12907811","6600",ABC,AT,"14",59634210919297722MT,ITO12907811,"17067313","12907810","12873433","13707","2507002",01/01/1920,"1",PD, 
"61","12909974","6600",ABC,AT,"14",61402445920246619MT,PCO12909974,"17067361","12909972","12873432","13723","2511301",01/01/1920,"1",PD, 
"62","12911068","6600",ABC,AT,"14",77293712918298362MT,12911068SJC,"26260921","12911066","12873451","13733","2514008",01/01/1920,"1",PD, 
"63","12911173","6600",ABC,AT,"14",73468330915158927MT,SME12911173,"26260963","12911166","12873446","13735","2516300",01/01/1920,"1",PD, 
"64","12911404","6600",ABC,AT,"14",56033625925655602MT,SPX12911404,"17067436","12911405","12873435","13737","2500700",01/01/1920,"1",PD, 
"65","12911921","6600",ABC,AT,"14",58228519925049578MT,SZA12911921,"17067438","12911923","12873440","13739","2516201",01/01/1920,"1",PD, 
"66","12912292","6600",ABC,AT,"14",69395309920126481MT,TXR12912292,"17067458","12912294","12873427","13742","2516706",01/01/1920,"1",PD, 
"67","12912404","6600",ABC,AT,"14",86134879927651445MT,ARN12912404,"26260945","100660148","12912332","13685","2501005",01/01/1920,"1",PD, 
"68","46741326","6600",ABC,AT,"13",90541915926462523MT,90541836926462462MT,"51696868","12907964","12873449","15801","2512721",01/01/1920,"1",PD, 
"69","46741327","6600",ABC,AT,"14",91021800921753100MT,91021707921753137MT,"51696930","13607733","12873413","13736","2509107",01/01/1920,"1",PD, 
"70","46741328","6600",ABC,AT,"14",95181553918360544MT,95181632918360481MT,"51696901","12909197","12873486","13717","2500601",01/01/1920,"1",PD, 
"71","46741331","6600",ABC,AT,"14",93007425926320632MT,93007340926320580MT,"51696885","12875414","12912337","15806","2512903",01/01/1920,"1",PD, 
"72","46741332","6600",ABC,AT,"14",89747810918957572MT,89747711918957574MT,"51696865","12876668","12873419","13706","2509404",01/01/1920,"1",PD, 
"73","46741333","6600",ABC,AT,"14",91760659922032149MT,91760698922032241MT,"51696934","13607733","12873413","13736","2515302",01/01/1920,"1",PD, 
"74","46741374","6600",ABC,AT,"13",95387056919411507MT,95387155919411496MT,"51696831","211896113","12873482","13694","2504603",01/01/1920,"1",PD, 
"75","53090323","6600",ABC,AT,"14",83052867921012253MT,83052957921012209MT,"184385059","478016685","58561573","13722","2512002",01/01/1920,"1",PD, 
"76","53090324","6600",ABC,AT,"14",57613747922922607MT,57613846922922610MT,"17067411","12913378","12912331","13732","2510006",01/01/1920,"1",PD, 
"77","53090327","6600",ABC,AT,"14",83860474920074919MT,83860399920074986MT,"53149444", ,"12873455","13722","2504009",01/01/1920,"1",PD, 
"78","67180001","6600",ABC,AT,"13",94657934917853915MT,94657894917853823MT,"51696974","12909197","12873486","13717","2503001",01/01/1920,"1",PD, 
"79","71108658","6600",ABC,AT,"13",91105516925787484MT,91105517925787385MT,"51696870","12907964","12873449","15801","2512721",01/01/1920,"1",PD, 
"80","72788797","6600",ABC,AT,"14",89892958920569561MT,89893057920569578MT,"51696864","12876668","12873419","13706","2506400",31/07/2015,"1",PD, 
"81","73770930","6600",ABC,AT,"13",91381740920646055MT,91381643920646028MT,"51696932","13607733","12873413","13736","2515971",01/08/2014,"1",PD, 
"82","85656766","6600",ABC,AT,"14",95039813918069664MT,95039894918069605MT,"51696902","12909197","12873486","13717","2500601",01/01/1920,"1",PD, 
"83","92909386","6600",ABC,AT,"14",95899140917088341MT,95899185917088430MT,"51696821","498468998","12873477","13692","2511905",01/01/1920,"1",PD, 
"84","94446550","6600",ABC,AT,"14",92535563918174543MT,ORT94446550,"51696912","12909677","12873481","13719","2511202",01/01/1920,"1",PD, 
"85","96903375","6600",ABC,AT,"14",96903274CPX,95674859921113320MT,"233117032","408887586","12873414","13696","2507507",01/01/1920,"1",PD, 
"86","99350344","6600",ABC,AT,"14",70738291912604416MT,MNT99350344,"26260939","12913075","12912333","13716","2509701",01/01/1920,"1",PD, 
"87","113280024","6600",ABC,AT,"13",56360648916917924MT,56360583916917849MT,"17067306","12877171","12873436","13704","2506608",01/01/1920,"1",PD, 
"88","113426630","6600",ABC,AT,"13",95530357919012707MT,95530424919012632MT,"51696830","211896113","12873482","13694","2504603",19/10/2015,"1",PD, 
"89","116444702","6600",C,AT,"13",83232228923680950MT,83232233923681049MT,"26260913","12876823","12873459","13702","2500577",17/07/2015,"0",PD, 
"90","145304674","6600",ABC,AT,"14",85154166921307165MT,85154265921307165MT,"122799812","12876823","12873459","13702","2515104",01/01/1920,"1",PD, 
"91","145708851","6600",ABC,AT,"14",82064600921277500MT,POC145708851,"184385076","478016685","58561573","13722","2512002",01/01/1920,"1",PD, 
"92","168895902","6600",ABC,AT,"14",91579925920897403MT,91579940920897304MT,"51696935","13607733","12873413","13736","2515971",01/01/1920,"1",PD, 
"93","173026781","6600",ABC,AT,"13",90200981919393755MT,90200948919393850MT,"120459583","12876668","12873419","13706","2514453",30/07/2015,"1",PD, 
"94","177874659","6600",ABC,AT,"13",72323754915315947MT,72323655915315941MT,"26260961","12911166","12873446","13735","2516300",01/01/1920,"1",PD, 
"95","182610948","6600",ABC,AT,"13",57991825926679835MT,57991856926679930MT,"17067438","12911922","12873440","13739","2517209",11/07/2017,"1",PD, 
"96","183079018","6600",ABC,AT,"13",79677519924845592MT,79677576924845675MT,"26260923","12913163","12912334","13721","2511103",13/09/2016,"1",PD, 
"97","188656890","6600",ABC,AT,"13",94077449925053683MT,94077548925053687MT,"51696925","12910813","12873487","13730","2509057",09/06/2015,"1",PD, 
"98","212084957","6600",ABC,AT,"13",59256443921514471MT,59256359921514526MT,"17067361","12909972","12873432","13723","2500205",27/09/2016,"1",PD, 
"99","232202378","6600",ABC,AT,"13",80601570917355355MT,80601471917355344MT,"26260880","12874661","12873460","13689","2502508",01/01/1920,"1",PD, 
"100","233615072","6600",ABC,AT,"13",55677684923099482MT,55677754923099412MT,"17067272","207357388","12873431","13695","2503704",01/01/1920,"1",PD, 
"101","245930341","6600",ABC,AT,"14",79121197921745564MT,SLD245930341,"245932952","481426104","245930311","16187","2516102",01/01/1920,"1",PD, 
"102","255029251","6600",ABC,AT,"13",96102710919329989MT,96102666919329899MT,"51696831","211896113","12873482","13694","2504603",02/06/2016,"1",PD, 
